source,predicate,target,source_type,target_type,relation_type,description
Transformation of Gare d’Orsay into Musée d’Orsay,models physical structure as,crm:E24_Physical_Human_Made_Thing,Topic,Class,primary,CIDOC CRM class for the physical station/building.
Transformation of Gare d’Orsay into Musée d’Orsay,models transformation as,crm:E11_Modification,Topic,Class,primary,CIDOC CRM class for the transformation event.
Transformation of Gare d’Orsay into Musée d’Orsay,models resulting institution as,schema:Museum,Topic,Class,primary,Schema.org class for the museum.
Transformation of Gare d’Orsay into Musée d’Orsay,uses central concept class,skos:Concept,Topic,Class,primary,"SKOS class for adaptive reuse, styles and art movements."
crm:E24_Physical_Human_Made_Thing,ex:designedBy,crm:E21_Person,Class,Class,object property,Connects a building to its architect.
crm:E24_Physical_Human_Made_Thing,ex:openedFor,crm:E5_Event,Class,Class,object property,Connects a building to the event for which it opened.
crm:E24_Physical_Human_Made_Thing,ex:hasArchitecturalStyle,skos:Concept,Class,Class,object property,Connects a building to an architectural style concept.
crm:E24_Physical_Human_Made_Thing,ex:wasModifiedBy,crm:E11_Modification,Class,Class,object property,Connects the former station to the transformation event.
crm:E11_Modification,rdfs:subClassOf,crm:E5_Event,Class,Class,class relation,A modification is modeled as a type of event.
crm:E11_Modification,ex:resultedIn,schema:Museum,Class,Class,object property,Connects the transformation event to the resulting museum.
crm:E24_Physical_Human_Made_Thing,ex:samePhysicalBuildingDifferentFunction,schema:Museum,Class,Class,object property,Represents continuity of the physical building across functions.
schema:Museum,ex:interiorDesignedBy,crm:E21_Person,Class,Class,object property,Connects a museum to its interior designer.
schema:Museum,ex:housesWorksBy,crm:E21_Person,Class,Class,object property,Connects a museum to artists represented in its collections.
schema:Museum,ex:representsArtMovement,skos:Concept,Class,Class,object property,Connects a museum to an artistic movement.
schema:Museum,ex:isCaseOf,skos:Concept,Class,Class,object property,Connects a museum to the adaptive-reuse concept.
schema:Museum,dcterms:isReferencedBy,schema:Movie,Class,Class,object property,Connects the museum to a documentary.
schema:Museum,dcterms:isReferencedBy,schema:CreativeWork,Class,Class,object property,Connects the museum to reference pages.
